CodiceBatteria,ItipoB,AlCS,Psq,Descrizione,PassoRanghi,PassoTubi,DiamEster,Spessoretubo,SpessoreAletta,AltezzaAletta,FatCorAl,FatRidAumSup,FatCoeflattub,FatCorrFatAttr,RidAreaPassTubo,Sigla,FattoreAttrAria,SlopeFatCorAl,SlopeFatCoeflattub,SlopeFatCorrFatAttr,SlopeFattoreAttrAria,FattoreAttrAriaLatente,RappSuperficiInterne,FattoreSensible,MetodoDiCalcolo,MetodoDiCalcoloPdC,PoliPdC_K0,PoliPdC_K1,ScriptPdCLungAdd,Fast,SecurityFactor,MultiFattori,TuboLiscio,Certificata,Parziale,UsaSistemaLE,Fat_PDC_LA_1,Fat_PDC_LC_1,Fat_PDC_LA_2,Fat_PDC_LC_2,Fat_PDC_LA_3,Fat_PDC_LC_3,Fat_PDC_LA_4,Fat_PDC_LC_4,AlterPumpMethod,Factor_A0,Factor_A1,Factor_A2,Factor_FATC,Fatt_PdC_Concentrate,FormaTubo,AltezzaTubo,LarghezzaTubo,TipoAletta,TipoTubo,ParametriSpeciali,Fatt_Exp1,Fatt_Exp2,AHRI_CERT,EUROVENT_CERT,Fatt_Exp3,Fatt_Exp4,Fatt_Exp5,Fatt_Exp6
6,1,1,"S","134035_S_S",34.64,40,13.3,0.35,0.12,0,1,1,1,1,1,"134035_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
22,1,1,"S","123026_S_S",26,30,12,0.35,0.12,0,1,1,1,1,1,"123026_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
139,1,1,"S","102522_S_S",21.65,25,9.539999999999999,0.35,0.1,0,1,1,1,1,1,"102522_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
172,1,1,"Q","102525_P_D",25,25,9.539999999999999,0.35,0.1,0,0.95,1,1.45,1.55,1,"102525_P_D",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
194,1,1,"S","165043_P_G",43.3,50,15.88,0.35,0.1,0,0.95,1,1.25,1.35,1,"165043_P_G",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
7,1,1,"S","174035_S_S",34.64,40,16.65,0.35,0.12,0,1,1,1,1,1,"174035_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
10,1,1,"S","123328_S_S",28,33,12,0.35,0.12,0,1,1,1,1,1,"123328_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
11,1,1,"S","123030_S_S",30,30,12.5,0.35,0.12,0,1,1,1,1,1,"123030_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
13,1,1,"S","163838_S_S",38,38,16.5,0.35,0.12,0,1,1,1,1,1,"163838_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
14,1,1,"S","276065_S_S",65,60,27,0.35,0.12,0,1,1,1,1,1,"276065_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
16,1,1,"S","102626_S_S",26,26,10,0.35,0.12,0,1,1,1,1,1,"102626_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
19,1,1,"S","102017_S_S",17,20,10,0.35,0.12,0,1,1,1,1,1,"102017_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
20,1,1,"S","256060_S_S",60,60,25,0.35,0.12,0,1,1,1,1,1,"256060_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
25,1,1,"S","134034_S_S",34,40,13.3,0.35,0.12,0,1,1,1,1,1,"134034_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
29,1,1,"S","206060_S_S",60,60,20,0.35,0.12,0,1,1,1,1,1,"206060_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
30,1,1,"S","155050_S_S",50,50,15,0.35,0.12,0,1,1,1,1,1,"155050_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
123,1,1,"S","166030_C_S",30,60,15.88,0.35,0.1,0,1.15,1,1,1,1,"166030_C_S",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
125,1,1,"S","072512_C_D",12.5,25,7.2,0.35,0.1,0,1.15,1,1.45,1.55,1,"072512_C_D",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
126,1,1,"S","072512_C_G",12.5,25,7.2,0.35,0.1,0,1.15,1,1.25,1.35,1,"072512_C_G",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
128,1,1,"S","072512_P_D",12.5,25,7.2,0.35,0.1,0,0.95,1,1.45,1.55,1,"072512_P_D",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
129,1,1,"S","072512_P_G",12.5,25,7.2,0.35,0.1,0,0.95,1,1.25,1.35,1,"072512_P_G",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
131,1,1,"S","102512_C_D",12.5,25,9.539999999999999,0.35,0.1,0,1.15,1,1.45,1.55,1,"102512_C_D",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
132,1,1,"S","102512_C_G",12.5,25,9.539999999999999,0.35,0.1,0,1.15,1,1.25,1.35,1,"102512_C_G",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
134,1,1,"S","102522_C_D",21.65,25,9.539999999999999,0.35,0.1,0,1.15,1,1.45,1.55,1,"102522_C_D",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
136,1,1,"S","102522_C_S",21.65,25,9.539999999999999,0.35,0.1,0,1.15,1,1,1,1,"102522_C_S",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,1,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
137,1,1,"S","102522_S_D",21.65,25,9.539999999999999,0.35,0.1,0,1,1,1.45,1.55,1,"102522_S_D",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
140,1,1,"S","102522_P_D",21.65,25,9.539999999999999,0.35,0.1,0,0.95,1,1.45,1.55,1,"102522_P_D",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
